,Player,Season,PA,AB,AVG,HardHit%,Barrel%,EV,K%,Contact%,O-Swing%,Z-Swing%,SwStr%
66,Adam Jones,2015,581,546,0.269,0.345,0.085,88.2,0.17600000000000002,0.778,0.465,0.8059999999999999,0.133
90,Martin Prado,2015,551,500,0.288,0.33299999999999996,0.02,89.0,0.12300000000000001,0.892,0.264,0.532,0.043
27,Jose Abreu,2015,668,613,0.29,0.41600000000000004,0.08900000000000001,91.0,0.21,0.7659999999999999,0.369,0.6709999999999999,0.114
57,Starling Marte,2015,633,579,0.287,0.35100000000000003,0.067,87.8,0.19399999999999998,0.758,0.39399999999999996,0.775,0.13699999999999998
22,Ryan Braun,2015,568,506,0.285,0.461,0.096,92.2,0.20199999999999999,0.7909999999999999,0.364,0.71,0.105
32,Lucas Duda,2015,554,471,0.244,0.42,0.11,91.8,0.249,0.767,0.28600000000000003,0.636,0.098
92,Kole Calhoun,2015,686,630,0.256,0.322,0.064,86.2,0.239,0.7390000000000001,0.318,0.7340000000000001,0.128
56,Chris Coghlan,2015,503,440,0.25,0.33299999999999996,0.046,88.5,0.187,0.8190000000000001,0.23199999999999998,0.6970000000000001,0.079
62,Joc Pederson,2015,585,480,0.21,0.452,0.111,91.2,0.29100000000000004,0.667,0.265,0.65,0.14
85,Brian Dozier,2015,704,628,0.236,0.311,0.055,87.2,0.21,0.7979999999999999,0.297,0.643,0.09
119,Didi Gregorius,2015,578,525,0.265,0.245,0.011000000000000001,85.4,0.147,0.795,0.363,0.711,0.106
126,Andrelton Simmons,2015,583,535,0.265,0.29,0.008,86.4,0.08199999999999999,0.893,0.28300000000000003,0.65,0.049
36,Adrian Gonzalez,2015,643,571,0.275,0.37200000000000005,0.077,88.8,0.166,0.8009999999999999,0.331,0.7440000000000001,0.099
41,Ben Zobrist,2015,535,467,0.276,0.34600000000000003,0.031,88.6,0.105,0.8859999999999999,0.226,0.5539999999999999,0.042
70,Dexter Fowler,2015,690,596,0.25,0.3,0.04,87.2,0.223,0.802,0.209,0.6779999999999999,0.08199999999999999
