,Player,Season,PA,AB,AVG,HardHit%,Barrel%,EV,K%,Contact%,O-Swing%,Z-Swing%,SwStr%
97,Troy Tulowitzki,2016,544,492,0.254,0.405,0.094,90.0,0.18600000000000003,0.81,0.284,0.635,0.084
101,Eduardo Nunez,2016,595,553,0.288,0.37,0.042,89.6,0.14800000000000002,0.852,0.386,0.7040000000000001,0.078
108,Adam Jones,2016,672,619,0.265,0.349,0.07,88.8,0.171,0.7509999999999999,0.44799999999999995,0.8270000000000001,0.151
114,Marcus Semien,2016,621,568,0.238,0.348,0.063,88.0,0.22399999999999998,0.7809999999999999,0.273,0.664,0.1
117,Starlin Castro,2016,610,577,0.27,0.34600000000000003,0.052000000000000005,88.5,0.193,0.782,0.364,0.6920000000000001,0.113
13,J.D. Martinez,2016,517,460,0.307,0.46,0.122,91.4,0.248,0.732,0.332,0.7709999999999999,0.14
37,Carlos Beltran,2016,593,552,0.295,0.385,0.064,90.1,0.17,0.8270000000000001,0.312,0.662,0.079
90,Marcell Ozuna,2016,608,557,0.266,0.419,0.076,90.9,0.18899999999999997,0.752,0.32899999999999996,0.665,0.11599999999999999
106,Didi Gregorius,2016,597,562,0.276,0.251,0.024,86.1,0.13699999999999998,0.8290000000000001,0.401,0.748,0.094
73,Chris Davis,2016,665,566,0.221,0.44,0.151,91.1,0.32899999999999996,0.657,0.282,0.6409999999999999,0.146
122,Chase Headley,2016,529,467,0.251,0.331,0.048,87.2,0.223,0.77,0.27699999999999997,0.6609999999999999,0.10099999999999999
35,Carlos Gonzalez,2016,632,584,0.298,0.41,0.083,90.2,0.204,0.7140000000000001,0.364,0.7440000000000001,0.147
55,Michael Saunders,2016,558,490,0.253,0.445,0.07400000000000001,90.0,0.281,0.73,0.258,0.6990000000000001,0.12
59,Stephen Piscotty,2016,649,582,0.273,0.373,0.086,88.2,0.205,0.763,0.331,0.754,0.124
85,J.T. Realmuto,2016,545,509,0.303,0.35200000000000004,0.039,88.6,0.183,0.8240000000000001,0.325,0.664,0.085
141,Jose Iglesias,2016,513,467,0.255,0.20600000000000002,0.006999999999999999,83.5,0.09699999999999999,0.912,0.361,0.536,0.039
53,Jose Abreu,2016,695,624,0.293,0.392,0.071,89.7,0.18,0.7759999999999999,0.397,0.693,0.115
112,Eugenio Suarez,2016,627,565,0.248,0.29100000000000004,0.061,86.6,0.247,0.775,0.266,0.6409999999999999,0.098
57,Chris Carter,2016,644,549,0.222,0.462,0.16399999999999998,91.7,0.32,0.6459999999999999,0.259,0.6829999999999999,0.155
133,Joe Panik,2016,526,464,0.239,0.271,0.035,86.3,0.08900000000000001,0.9,0.23,0.65,0.040999999999999995
138,Kevin Pillar,2016,584,548,0.266,0.3,0.024,87.0,0.154,0.8220000000000001,0.371,0.623,0.087
140,Freddy Galvis,2016,624,584,0.241,0.27399999999999997,0.026000000000000002,87.4,0.218,0.81,0.40399999999999997,0.6809999999999999,0.099
38,Mark Trumbo,2016,667,613,0.256,0.447,0.147,92.7,0.255,0.7240000000000001,0.33799999999999997,0.6990000000000001,0.136
43,Jose Bautista,2016,517,423,0.234,0.457,0.08,91.5,0.19899999999999998,0.802,0.20199999999999999,0.5870000000000001,0.07200000000000001
66,Melky Cabrera,2016,646,591,0.296,0.342,0.019,89.5,0.107,0.8759999999999999,0.348,0.6859999999999999,0.061
124,Jacoby Ellsbury,2016,626,551,0.263,0.309,0.013999999999999999,86.9,0.134,0.8440000000000001,0.278,0.6729999999999999,0.07200000000000001
67,Danny Valencia,2016,517,471,0.287,0.405,0.07,90.1,0.222,0.728,0.299,0.624,0.12
132,Josh Harrison,2016,522,487,0.283,0.22899999999999998,0.021,86.5,0.146,0.8220000000000001,0.371,0.725,0.09699999999999999
94,Joe Mauer,2016,576,494,0.261,0.429,0.05,89.8,0.161,0.862,0.23199999999999998,0.508,0.049
100,Angel Pagan,2016,543,495,0.277,0.214,0.025,85.7,0.122,0.8959999999999999,0.247,0.598,0.042
137,Melvin Upton Jr.,2016,539,492,0.238,0.359,0.057999999999999996,88.3,0.28800000000000003,0.679,0.304,0.7140000000000001,0.161
139,Danny Espinosa,2016,601,516,0.209,0.33399999999999996,0.08199999999999999,90.1,0.29,0.688,0.332,0.696,0.149
86,Brad Miller,2016,601,548,0.243,0.425,0.09,90.5,0.248,0.755,0.324,0.716,0.12
91,Justin Upton,2016,626,570,0.246,0.455,0.122,91.3,0.28600000000000003,0.7170000000000001,0.257,0.659,0.124
93,Jayson Werth,2016,606,525,0.244,0.446,0.069,91.3,0.22899999999999998,0.813,0.23800000000000002,0.546,0.071
96,Yunel Escobar,2016,567,517,0.304,0.35700000000000004,0.027999999999999997,89.3,0.11800000000000001,0.848,0.273,0.73,0.07400000000000001
92,Andrew McCutchen,2016,675,598,0.256,0.41700000000000004,0.076,89.6,0.212,0.768,0.254,0.7140000000000001,0.107
119,Chase Utley,2016,565,512,0.252,0.336,0.04,87.6,0.204,0.823,0.222,0.597,0.071
120,Denard Span,2016,637,572,0.266,0.295,0.026000000000000002,86.0,0.124,0.875,0.265,0.6459999999999999,0.055
135,Marwin Gonzalez,2016,518,484,0.254,0.35100000000000003,0.051,89.3,0.228,0.7509999999999999,0.35700000000000004,0.6509999999999999,0.12
49,Victor Martinez,2016,610,553,0.289,0.41600000000000004,0.073,90.0,0.14800000000000002,0.845,0.326,0.667,0.073
74,Jay Bruce,2016,589,539,0.25,0.382,0.08199999999999999,88.9,0.214,0.765,0.33,0.773,0.12
64,Mike Napoli,2016,645,557,0.239,0.386,0.13,89.6,0.301,0.721,0.264,0.6609999999999999,0.122
83,Adrian Gonzalez,2016,633,568,0.285,0.335,0.039,88.2,0.185,0.79,0.322,0.733,0.10099999999999999
113,Cheslor Cuthbert,2016,510,475,0.274,0.366,0.021,89.3,0.188,0.7859999999999999,0.317,0.695,0.105
131,Alex Gordon,2016,506,445,0.22,0.369,0.081,87.8,0.292,0.72,0.249,0.6809999999999999,0.122
130,Howie Kendrick,2016,543,487,0.255,0.42100000000000004,0.055999999999999994,90.4,0.177,0.807,0.305,0.688,0.092
76,Kendrys Morales,2016,618,558,0.263,0.49700000000000005,0.102,92.8,0.19399999999999998,0.7759999999999999,0.33399999999999996,0.687,0.107
121,Maikel Franco,2016,630,581,0.255,0.40700000000000003,0.063,89.5,0.168,0.7709999999999999,0.344,0.7440000000000001,0.11800000000000001
143,Alcides Escobar,2016,682,637,0.261,0.174,0.013000000000000001,84.0,0.141,0.8029999999999999,0.391,0.693,0.10400000000000001
89,Albert Pujols,2016,650,593,0.268,0.441,0.08800000000000001,91.6,0.115,0.857,0.321,0.639,0.066
142,Jason Heyward,2016,592,530,0.23,0.309,0.025,86.8,0.157,0.855,0.262,0.6,0.06
123,Travis Shaw,2016,530,480,0.242,0.342,0.07400000000000001,88.7,0.251,0.7759999999999999,0.327,0.6859999999999999,0.107
145,Adeiny Hechavarria,2016,547,508,0.236,0.311,0.006999999999999999,88.1,0.133,0.856,0.33899999999999997,0.6779999999999999,0.071
107,Corey Dickerson,2016,548,510,0.245,0.38,0.095,89.0,0.245,0.733,0.44,0.76,0.149
109,Nomar Mazara,2016,568,516,0.266,0.348,0.057999999999999996,88.0,0.19699999999999998,0.807,0.33399999999999996,0.613,0.086
116,Scooter Gennett,2016,542,498,0.263,0.247,0.031,86.9,0.21,0.794,0.34299999999999997,0.73,0.10400000000000001
118,Zack Cozart,2016,508,464,0.252,0.278,0.023,86.2,0.165,0.8320000000000001,0.289,0.664,0.079
125,Adonis Garcia,2016,563,532,0.273,0.345,0.045,89.0,0.165,0.8029999999999999,0.38799999999999996,0.7020000000000001,0.10300000000000001
103,Nick Markakis,2016,684,599,0.269,0.428,0.043,90.7,0.14800000000000002,0.882,0.242,0.621,0.048
126,Salvador Perez,2016,546,514,0.247,0.373,0.057999999999999996,88.9,0.218,0.79,0.442,0.701,0.115
128,Stephen Vogt,2016,532,490,0.251,0.266,0.049,85.9,0.156,0.84,0.325,0.611,0.073
98,Eric Hosmer,2016,667,605,0.266,0.43799999999999994,0.08199999999999999,91.9,0.198,0.754,0.33899999999999997,0.705,0.11900000000000001
134,Yonder Alonso,2016,532,482,0.253,0.371,0.036000000000000004,88.6,0.139,0.8390000000000001,0.273,0.706,0.07400000000000001
127,Mitch Moreland,2016,503,460,0.233,0.395,0.096,90.5,0.235,0.7340000000000001,0.341,0.7140000000000001,0.129
115,Brandon Phillips,2016,584,550,0.291,0.255,0.022000000000000002,86.4,0.11599999999999999,0.8190000000000001,0.41700000000000004,0.772,0.10400000000000001
84,Matt Kemp,2016,672,623,0.268,0.37799999999999995,0.10400000000000001,88.2,0.23199999999999998,0.726,0.40700000000000003,0.75,0.15
60,Yasmany Tomas,2016,563,530,0.272,0.423,0.10099999999999999,90.6,0.242,0.7170000000000001,0.424,0.8029999999999999,0.163
144,Alexei Ramirez,2016,506,478,0.241,0.239,0.005,84.5,0.125,0.841,0.348,0.6579999999999999,0.077
1,Aaron Judge,2017,678,542,0.284,0.55,0.249,94.9,0.307,0.6759999999999999,0.247,0.662,0.133
6,Jose Altuve,2017,662,590,0.346,0.28,0.057,86.1,0.127,0.8490000000000001,0.331,0.6779999999999999,0.07200000000000001
9,Kris Bryant,2017,665,549,0.295,0.37,0.08900000000000001,87.0,0.192,0.777,0.28300000000000003,0.6829999999999999,0.10099999999999999
4,Giancarlo Stanton,2017,692,597,0.281,0.455,0.16899999999999998,91.9,0.23600000000000002,0.7040000000000001,0.27399999999999997,0.6579999999999999,0.127
11,Jose Ramirez,2017,645,585,0.318,0.345,0.046,88.2,0.107,0.8740000000000001,0.254,0.6659999999999999,0.055
10,Tommy Pham,2017,530,444,0.306,0.434,0.096,89.7,0.221,0.799,0.18899999999999997,0.599,0.076
0,Mike Trout,2017,507,402,0.306,0.405,0.12,88.8,0.17800000000000002,0.835,0.19699999999999998,0.615,0.062
37,Brian Dozier,2017,705,617,0.271,0.345,0.075,87.9,0.2,0.777,0.23399999999999999,0.625,0.09300000000000001
2,Joey Votto,2017,707,559,0.32,0.32799999999999996,0.087,87.5,0.11699999999999999,0.86,0.158,0.7140000000000001,0.059000000000000004
12,Nolan Arenado,2017,680,606,0.309,0.376,0.079,88.9,0.156,0.787,0.306,0.7090000000000001,0.10300000000000001
48,Francisco Lindor,2017,723,651,0.273,0.355,0.067,89.0,0.129,0.863,0.307,0.68,0.065
8,Justin Turner,2017,543,457,0.322,0.381,0.076,89.4,0.10300000000000001,0.8540000000000001,0.25,0.674,0.064
13,Anthony Rendon,2017,605,508,0.301,0.375,0.057999999999999996,89.8,0.136,0.872,0.21,0.63,0.052000000000000005
15,Marcell Ozuna,2017,679,613,0.312,0.45399999999999996,0.085,90.7,0.212,0.743,0.331,0.731,0.128
7,Paul Goldschmidt,2017,665,558,0.297,0.47100000000000003,0.12300000000000001,91.4,0.221,0.7490000000000001,0.244,0.621,0.10300000000000001
34,Corey Seager,2017,613,539,0.295,0.44,0.08,89.7,0.214,0.7559999999999999,0.29100000000000004,0.7879999999999999,0.122
70,Mookie Betts,2017,712,628,0.264,0.377,0.042,88.4,0.111,0.858,0.22,0.5379999999999999,0.051
3,Charlie Blackmon,2017,725,644,0.331,0.361,0.076,87.3,0.18600000000000003,0.831,0.302,0.647,0.078
33,Buster Posey,2017,568,494,0.32,0.344,0.035,88.7,0.11599999999999999,0.853,0.256,0.674,0.065
99,Andrelton Simmons,2017,647,589,0.278,0.285,0.025,86.1,0.10400000000000001,0.878,0.27699999999999997,0.659,0.055999999999999994
26,Avisail Garcia,2017,561,518,0.33,0.40700000000000003,0.086,90.3,0.198,0.7240000000000001,0.39799999999999996,0.8340000000000001,0.163
40,Travis Shaw,2017,606,538,0.273,0.39399999999999996,0.064,88.6,0.228,0.8009999999999999,0.293,0.665,0.09
38,Chris Taylor,2017,568,514,0.288,0.34,0.062,87.0,0.25,0.763,0.252,0.6890000000000001,0.10800000000000001
59,Lorenzo Cain,2017,645,584,0.3,0.35200000000000004,0.033,89.2,0.155,0.8190000000000001,0.304,0.71,0.08900000000000001
5,Freddie Freeman,2017,514,440,0.307,0.418,0.13,89.7,0.185,0.769,0.327,0.8420000000000001,0.122
19,Marwin Gonzalez,2017,515,455,0.303,0.366,0.061,88.7,0.192,0.809,0.292,0.598,0.08
25,George Springer,2017,629,548,0.283,0.42700000000000005,0.084,89.1,0.17600000000000002,0.787,0.237,0.705,0.095
46,Jonathan Schoop,2017,675,622,0.293,0.361,0.068,87.6,0.21,0.736,0.371,0.74,0.138
23,Jose Abreu,2017,675,621,0.304,0.457,0.085,90.6,0.17600000000000002,0.7909999999999999,0.33,0.677,0.10099999999999999
22,Justin Upton,2017,635,557,0.273,0.415,0.122,88.8,0.28300000000000003,0.7170000000000001,0.26899999999999996,0.6609999999999999,0.125
49,Alex Bregman,2017,626,556,0.284,0.345,0.034,87.6,0.155,0.857,0.258,0.664,0.064
63,Elvis Andrus,2017,689,643,0.297,0.314,0.037000000000000005,86.5,0.147,0.8190000000000001,0.33899999999999997,0.631,0.085
84,J.T. Realmuto,2017,579,532,0.278,0.35200000000000004,0.061,88.2,0.183,0.8220000000000001,0.324,0.654,0.086
14,Zack Cozart,2017,507,438,0.297,0.28800000000000003,0.044000000000000004,85.8,0.154,0.8540000000000001,0.244,0.604,0.06
21,Anthony Rizzo,2017,691,572,0.273,0.387,0.08199999999999999,88.4,0.13,0.833,0.304,0.6679999999999999,0.077
31,Gary Sanchez,2017,525,471,0.278,0.431,0.115,90.8,0.22899999999999998,0.738,0.337,0.665,0.126
121,Byron Buxton,2017,511,462,0.253,0.32,0.055999999999999994,88.1,0.294,0.7170000000000001,0.311,0.67,0.13699999999999998
56,Steven Souza Jr.,2017,617,523,0.239,0.38,0.11800000000000001,88.8,0.29,0.696,0.244,0.708,0.133
73,Brett Gardner,2017,682,594,0.264,0.31,0.028999999999999998,86.4,0.179,0.857,0.212,0.531,0.052000000000000005
58,Jed Lowrie,2017,645,567,0.277,0.37200000000000005,0.055,88.9,0.155,0.836,0.242,0.759,0.079
20,Cody Bellinger,2017,548,480,0.267,0.457,0.11599999999999999,90.8,0.266,0.696,0.27399999999999997,0.674,0.135
45,Eugenio Suarez,2017,632,534,0.26,0.319,0.064,86.1,0.233,0.773,0.242,0.655,0.096
18,Daniel Murphy,2017,593,534,0.322,0.41700000000000004,0.040999999999999995,89.6,0.13,0.8759999999999999,0.312,0.6709999999999999,0.057999999999999996
17,Nelson Cruz,2017,645,556,0.288,0.48700000000000004,0.13699999999999998,93.2,0.217,0.706,0.29600000000000004,0.7140000000000001,0.139
24,Eric Hosmer,2017,671,603,0.318,0.389,0.062,89.8,0.155,0.802,0.3,0.6920000000000001,0.09300000000000001
42,Andrew McCutchen,2017,650,570,0.279,0.38299999999999995,0.068,88.4,0.17800000000000002,0.804,0.25,0.679,0.08800000000000001
94,Kyle Seager,2017,650,578,0.249,0.335,0.08199999999999999,88.3,0.16899999999999998,0.7979999999999999,0.253,0.633,0.087
44,Josh Reddick,2017,540,477,0.314,0.306,0.035,87.6,0.133,0.856,0.28,0.648,0.063
90,Ender Inciarte,2017,718,662,0.304,0.13,0.005,82.8,0.131,0.872,0.36,0.7120000000000001,0.067
57,Christian Yelich,2017,695,602,0.282,0.45299999999999996,0.061,90.6,0.19699999999999998,0.7959999999999999,0.25,0.6409999999999999,0.086
16,Ryan Zimmerman,2017,576,524,0.303,0.48100000000000004,0.11199999999999999,91.4,0.21899999999999997,0.775,0.311,0.625,0.1
28,Domingo Santana,2017,607,525,0.278,0.4,0.091,89.2,0.293,0.703,0.265,0.713,0.138
29,Justin Smoak,2017,637,560,0.27,0.429,0.12,89.7,0.201,0.792,0.258,0.669,0.09
80,Jean Segura,2017,566,524,0.3,0.341,0.028999999999999998,87.6,0.147,0.853,0.33799999999999997,0.6609999999999999,0.07200000000000001
66,DJ LeMahieu,2017,682,609,0.31,0.41200000000000003,0.015,89.2,0.132,0.895,0.23800000000000002,0.593,0.043
50,Carlos Santana,2017,667,571,0.259,0.384,0.069,88.6,0.141,0.821,0.214,0.621,0.071
77,Robinson Cano,2017,648,592,0.28,0.43700000000000006,0.055,90.3,0.131,0.8320000000000001,0.349,0.733,0.087
81,Whit Merrifield,2017,630,587,0.288,0.294,0.045,87.6,0.14,0.843,0.34299999999999997,0.688,0.079
41,Matt Carpenter,2017,622,497,0.241,0.36700000000000005,0.079,89.7,0.201,0.825,0.165,0.547,0.06
76,Todd Frazier,2017,576,474,0.213,0.302,0.09,87.5,0.217,0.769,0.25,0.602,0.09300000000000001
101,Xander Bogaerts,2017,635,571,0.273,0.317,0.009000000000000001,87.3,0.183,0.8029999999999999,0.32799999999999996,0.53,0.083
79,Tim Beckham,2017,575,533,0.278,0.397,0.08199999999999999,88.5,0.29,0.703,0.33799999999999997,0.7070000000000001,0.15
36,Logan Morrison,2017,601,512,0.246,0.429,0.126,88.6,0.248,0.737,0.276,0.703,0.121
39,Khris Davis,2017,652,566,0.247,0.521,0.16899999999999998,92.2,0.299,0.687,0.266,0.752,0.147
97,Javier Baez,2017,508,469,0.273,0.35100000000000003,0.078,87.8,0.28300000000000003,0.6579999999999999,0.451,0.726,0.192
35,Joey Gallo,2017,532,449,0.209,0.53,0.209,93.3,0.368,0.591,0.318,0.743,0.193
47,Jake Lamb,2017,635,536,0.248,0.375,0.08,88.3,0.239,0.778,0.22399999999999998,0.618,0.08800000000000001
60,Cesar Hernandez,2017,577,511,0.294,0.297,0.027000000000000003,85.7,0.18,0.807,0.21600000000000003,0.614,0.078
88,Odubel Herrera,2017,563,526,0.281,0.32299999999999995,0.05,87.2,0.22399999999999998,0.752,0.4,0.7070000000000001,0.132
83,Josh Harrison,2017,542,486,0.272,0.237,0.025,84.9,0.166,0.8,0.35600000000000004,0.733,0.105
119,Dee Strange-Gordon,2017,695,653,0.308,0.113,0.002,81.6,0.134,0.868,0.366,0.6779999999999999,0.069
52,Eddie Rosario,2017,589,542,0.29,0.321,0.067,87.2,0.18,0.7829999999999999,0.376,0.7609999999999999,0.11900000000000001
64,Matt Joyce,2017,544,469,0.243,0.34700000000000003,0.08,88.3,0.20800000000000002,0.7609999999999999,0.214,0.6709999999999999,0.10099999999999999
51,Jay Bruce,2017,617,555,0.254,0.389,0.09300000000000001,88.4,0.225,0.7390000000000001,0.313,0.733,0.13
75,Didi Gregorius,2017,570,534,0.287,0.20800000000000002,0.032,84.5,0.12300000000000001,0.804,0.408,0.813,0.114
27,Edwin Encarnacion,2017,669,554,0.258,0.42200000000000004,0.10300000000000001,89.2,0.19899999999999998,0.763,0.235,0.684,0.102
67,Corey Dickerson,2017,629,588,0.282,0.317,0.068,87.1,0.242,0.736,0.455,0.785,0.155
54,Joe Mauer,2017,597,525,0.305,0.45799999999999996,0.038,90.6,0.139,0.887,0.205,0.534,0.040999999999999995
93,Adam Duvall,2017,647,587,0.249,0.325,0.084,87.3,0.263,0.758,0.33799999999999997,0.669,0.11599999999999999
109,Yadier Molina,2017,543,501,0.273,0.341,0.059000000000000004,87.9,0.136,0.8270000000000001,0.37799999999999995,0.693,0.091
117,Evan Longoria,2017,677,613,0.261,0.322,0.05,86.7,0.161,0.81,0.349,0.6940000000000001,0.095
114,Jackie Bradley Jr.,2017,541,482,0.245,0.397,0.069,88.3,0.22899999999999998,0.7240000000000001,0.3,0.679,0.13
30,Eric Thames,2017,551,469,0.247,0.389,0.114,88.2,0.29600000000000004,0.7070000000000001,0.276,0.6679999999999999,0.127
32,Yonder Alonso,2017,521,451,0.266,0.408,0.09300000000000001,89.2,0.226,0.7559999999999999,0.278,0.7440000000000001,0.115
116,Ian Kinsler,2017,613,551,0.236,0.303,0.040999999999999995,86.3,0.14,0.861,0.272,0.655,0.062
61,Mike Moustakas,2017,598,555,0.272,0.336,0.081,87.4,0.157,0.81,0.40299999999999997,0.762,0.106
55,Yasiel Puig,2017,570,499,0.263,0.374,0.084,88.5,0.175,0.769,0.293,0.695,0.107
62,Yuli Gurriel,2017,564,529,0.299,0.431,0.032,89.9,0.11,0.831,0.32799999999999996,0.679,0.081
111,Max Kepler,2017,568,511,0.243,0.36700000000000005,0.04,88.7,0.201,0.789,0.285,0.607,0.091
87,Chase Headley,2017,586,512,0.273,0.332,0.044000000000000004,87.2,0.225,0.7609999999999999,0.258,0.679,0.106
113,Yolmer Sanchez,2017,534,484,0.267,0.242,0.028999999999999998,84.8,0.20800000000000002,0.779,0.34700000000000003,0.6779999999999999,0.11
124,Orlando Arcia,2017,548,506,0.277,0.273,0.034,85.7,0.182,0.759,0.387,0.737,0.13
123,Manuel Margot,2017,529,487,0.263,0.28800000000000003,0.026000000000000002,85.3,0.2,0.8109999999999999,0.29,0.639,0.086
65,David Peralta,2017,577,525,0.293,0.355,0.032,88.1,0.163,0.8029999999999999,0.318,0.7070000000000001,0.096
89,Joe Panik,2017,573,511,0.288,0.237,0.024,85.0,0.094,0.899,0.245,0.649,0.044000000000000004
100,Trevor Story,2017,555,503,0.239,0.38299999999999995,0.09300000000000001,89.4,0.344,0.7040000000000001,0.309,0.69,0.142
131,Freddy Galvis,2017,663,608,0.255,0.235,0.024,86.3,0.16699999999999998,0.843,0.331,0.67,0.076
86,Scott Schebler,2017,531,473,0.233,0.408,0.099,89.1,0.235,0.7290000000000001,0.35,0.764,0.142
95,David Freese,2017,503,426,0.263,0.42700000000000005,0.054000000000000006,88.9,0.231,0.7879999999999999,0.268,0.623,0.092
126,Jordy Mercer,2017,558,502,0.255,0.32,0.028999999999999998,85.8,0.158,0.852,0.262,0.598,0.062
125,Jorge Polanco,2017,544,488,0.256,0.253,0.026000000000000002,85.0,0.14300000000000002,0.865,0.26899999999999996,0.61,0.057999999999999996
130,Brandon Crawford,2017,570,518,0.253,0.33299999999999996,0.051,87.5,0.198,0.7440000000000001,0.311,0.7659999999999999,0.131
138,Billy Hamilton,2017,633,582,0.247,0.11199999999999999,0.002,80.5,0.21,0.826,0.299,0.633,0.079
91,Manny Machado,2017,690,630,0.259,0.475,0.094,91.3,0.16699999999999998,0.7959999999999999,0.327,0.7120000000000001,0.1
118,Jose Reyes,2017,561,501,0.246,0.242,0.023,84.3,0.141,0.8340000000000001,0.306,0.628,0.075
53,Trey Mancini,2017,586,543,0.293,0.40399999999999997,0.09300000000000001,88.6,0.237,0.7290000000000001,0.349,0.721,0.138
68,Nick Castellanos,2017,665,614,0.272,0.41700000000000004,0.092,89.1,0.214,0.743,0.34600000000000003,0.732,0.131
82,Andrew Benintendi,2017,658,573,0.271,0.332,0.053,87.5,0.17,0.825,0.29,0.645,0.077
85,Curtis Granderson,2017,527,449,0.212,0.34,0.091,87.7,0.233,0.826,0.21600000000000003,0.574,0.066
74,Wil Myers,2017,649,567,0.243,0.452,0.084,89.4,0.27699999999999997,0.758,0.29,0.643,0.107
78,Adam Jones,2017,635,597,0.285,0.303,0.057,86.8,0.17800000000000002,0.777,0.441,0.789,0.13
110,Ben Gamel,2017,550,509,0.275,0.292,0.036000000000000004,86.3,0.222,0.8079999999999999,0.284,0.632,0.086
122,Yangervis Solarte,2017,512,466,0.255,0.281,0.032,85.4,0.11900000000000001,0.855,0.345,0.727,0.07400000000000001
112,Kole Calhoun,2017,654,569,0.244,0.354,0.052000000000000005,88.3,0.205,0.763,0.294,0.721,0.113
72,Asdrubal Cabrera,2017,540,479,0.28,0.326,0.045,87.2,0.154,0.8270000000000001,0.284,0.7,0.081
129,Kevin Pillar,2017,632,587,0.256,0.285,0.03,86.0,0.15,0.848,0.401,0.67,0.079
143,Alcides Escobar,2017,629,599,0.25,0.209,0.02,84.0,0.162,0.8029999999999999,0.368,0.72,0.105
96,Mitch Moreland,2017,576,508,0.246,0.364,0.11199999999999999,89.3,0.20800000000000002,0.757,0.302,0.693,0.11199999999999999
102,Nick Markakis,2017,670,593,0.275,0.344,0.025,88.3,0.16399999999999998,0.866,0.254,0.593,0.054000000000000006
43,Mark Reynolds,2017,593,520,0.267,0.359,0.078,87.2,0.295,0.6759999999999999,0.261,0.675,0.14400000000000002
135,Tim Anderson,2017,606,587,0.257,0.311,0.049,85.6,0.267,0.722,0.413,0.708,0.152
98,Denard Span,2017,542,497,0.272,0.251,0.033,85.3,0.127,0.892,0.264,0.63,0.047
71,Josh Bell,2017,620,549,0.255,0.33899999999999997,0.06,87.6,0.18899999999999997,0.7959999999999999,0.267,0.66,0.08900000000000001
108,Brandon Phillips,2017,604,572,0.285,0.247,0.026000000000000002,84.6,0.121,0.8109999999999999,0.418,0.748,0.106
128,Hunter Pence,2017,539,493,0.26,0.375,0.057999999999999996,89.0,0.18899999999999997,0.748,0.298,0.6559999999999999,0.113
107,Nomar Mazara,2017,616,554,0.253,0.37,0.063,89.0,0.20600000000000002,0.757,0.32899999999999996,0.654,0.11199999999999999
140,Jose Peraza,2017,518,487,0.259,0.2,0.013999999999999999,82.7,0.135,0.8540000000000001,0.35100000000000003,0.6890000000000001,0.07400000000000001
69,Shin-Soo Choo,2017,636,544,0.261,0.373,0.086,88.7,0.21100000000000002,0.7879999999999999,0.21600000000000003,0.6509999999999999,0.08800000000000001
105,Melky Cabrera,2017,666,620,0.285,0.35,0.036000000000000004,88.3,0.111,0.889,0.321,0.643,0.051
92,Carlos Gonzalez,2017,534,470,0.262,0.37,0.053,87.5,0.223,0.7040000000000001,0.342,0.723,0.147
103,Ryon Healy,2017,605,576,0.271,0.401,0.073,88.3,0.235,0.747,0.358,0.629,0.12
120,Chris Davis,2017,524,456,0.215,0.45299999999999996,0.113,90.1,0.37200000000000005,0.667,0.298,0.6,0.14300000000000002
134,Maikel Franco,2017,623,575,0.23,0.363,0.054000000000000006,88.8,0.152,0.79,0.315,0.7509999999999999,0.105
139,Dansby Swanson,2017,551,488,0.232,0.317,0.03,86.9,0.218,0.784,0.272,0.6659999999999999,0.096
142,Alex Gordon,2017,541,476,0.208,0.309,0.039,86.3,0.233,0.7829999999999999,0.273,0.7040000000000001,0.10300000000000001
104,Kendrys Morales,2017,608,557,0.25,0.45799999999999996,0.091,91.2,0.217,0.73,0.35700000000000004,0.701,0.134
106,Hanley Ramirez,2017,553,496,0.242,0.384,0.095,88.5,0.21,0.7559999999999999,0.326,0.696,0.11699999999999999
133,Jose Bautista,2017,686,587,0.203,0.35600000000000004,0.064,88.3,0.248,0.733,0.253,0.621,0.11
141,Rougned Odor,2017,651,607,0.204,0.37200000000000005,0.051,89.1,0.249,0.754,0.38299999999999995,0.736,0.13
115,Miguel Cabrera,2017,529,469,0.249,0.478,0.09699999999999999,91.1,0.20800000000000002,0.7809999999999999,0.322,0.735,0.11
127,Tommy Joseph,2017,533,495,0.24,0.401,0.07,89.2,0.242,0.7490000000000001,0.36,0.6729999999999999,0.124
137,Carlos Beltran,2017,509,467,0.231,0.31,0.04,87.3,0.2,0.812,0.33299999999999996,0.659,0.09
132,Mark Trumbo,2017,603,559,0.234,0.375,0.063,89.6,0.247,0.722,0.344,0.708,0.138
136,Albert Pujols,2017,636,593,0.241,0.391,0.048,88.7,0.146,0.812,0.33899999999999997,0.644,0.08800000000000001
0,Mookie Betts,2018,614,520,0.346,0.5,0.131,92.3,0.14800000000000002,0.8590000000000001,0.198,0.57,0.05
1,Mike Trout,2018,608,471,0.312,0.46,0.153,91.2,0.204,0.841,0.218,0.591,0.06
5,Jose Ramirez,2018,698,578,0.27,0.345,0.069,89.0,0.115,0.877,0.223,0.623,0.047
4,Alex Bregman,2018,705,594,0.286,0.39799999999999996,0.07400000000000001,89.4,0.121,0.885,0.2,0.605,0.043
20,Francisco Lindor,2018,745,661,0.277,0.405,0.091,90.6,0.14400000000000002,0.841,0.327,0.679,0.075
3,Christian Yelich,2018,651,574,0.326,0.508,0.122,92.6,0.207,0.79,0.27699999999999997,0.6459999999999999,0.092
